precision,recall,precision_filtered,recall_filtered,training_set,model,negative_sample_probability,lr,rotation
0.15954716981132075,0.9688359303391384,0.8059822150363783,0.9343955014058107,train-single,unet,0.1,0.01,True
0.3742504409171076,0.9725022914757103,0.8948306595365418,0.9383177570093458,train-all,unet,0.05,0.01,False
0.48897231346785547,0.96036866359447,0.9200743494423792,0.9313264346190028,train-augment,unet,0.5,0.01,True
0.36061643835616436,0.9660550458715597,0.8756708407871199,0.9244570349386213,train-all,unet,0.5,0.01,True
0.3774124374553252,0.967032967032967,0.8850574712643678,0.9363891487371375,train-augment,unet,0.1,0.01,True
0.36634681288553805,0.9807339449541285,0.8970070422535211,0.9514472455648926,train-single,unet,0.1,0.01,False
0.4314016840019812,0.877139979859013,0.8662420382165605,0.8429752066115702,train-single,unet,0.5,0.01,True
0.6504315659679408,0.9670027497708524,0.9423255813953488,0.9405756731662024,train-all,unet,0.5,0.01,False
0.3255597014925373,0.9632014719411224,0.8556789069171649,0.9373246024321796,train-all,unet,0.05,0.01,True
0.27349987123358227,0.9725274725274725,0.8704974271012007,0.9468283582089553,train-augment,unet,0.05,0.01,True
0.5121832358674464,0.9651056014692379,0.9330232558139535,0.9365079365079365,train-single,unet,0.5,0.01,False
0.6156521739130435,0.9716376944190301,0.9298892988929889,0.9402985074626866,train-augment,unet,0.5,0.01,False
0.5130434782608696,0.9707495429616088,0.9134790528233151,0.9373831775700935,train-augment,unet,0.05,0.01,False
0.0863511990986641,0.9808043875685558,0.6854395604395604,0.9370892018779343,train-single,unet,0.05,0.01,True
0.4564369310793238,0.9678308823529411,0.89937106918239,0.9372659176029963,train-all,unet,0.1,0.01,True
0.5353383458646617,0.9735642661804923,0.9091718610863758,0.9462465245597775,train-all,unet,0.1,0.01,False
0.44344262295081965,0.9827429609445958,0.9042933810375671,0.9413407821229051,train-augment,unet,0.1,0.01,False
0.14584495259341884,0.9703153988868275,0.7700787401574803,0.9314285714285714,train-single,unet,0.05,0.01,False
