overall_iou,overall_recall,overall_precision,tile_average_iou,tile_average_recall,tile_average_precision,training_set,model,negative_sample_probability,lr,rotation
0.7148672621156621,0.8978771991409149,0.7781356067485418,0.40 (0.34),0.79 (0.27),0.46 (0.38),train-all,unet,0.5,0.01,True
0.7762716959607502,0.9123053753213076,0.8388666648619044,0.43 (0.37),0.82 (0.25),0.48 (0.40),train-all,unet,0.1,0.01,True
0.794856876890854,0.9179060366205796,0.8556867243496589,0.40 (0.38),0.83 (0.26),0.44 (0.41),train-all,unet,0.1,0.01,False
0.8094013148799815,0.912715290280939,0.8773090694570269,0.55 (0.37),0.83 (0.26),0.62 (0.39),train-augment,unet,0.5,0.01,False
0.7160312831657449,0.9081080877051934,0.7719643992779232,0.27 (0.35),0.82 (0.25),0.30 (0.38),train-all,unet,0.05,0.01,True
0.7748865038394924,0.9041538804150483,0.8442344061358316,0.54 (0.35),0.82 (0.26),0.64 (0.37),train-augment,unet,0.5,0.01,True
0.7792304349802397,0.9253007364126025,0.8315401742707736,0.33 (0.37),0.85 (0.22),0.36 (0.40),train-single,unet,0.1,0.01,False
0.7591488193248508,0.9099719551735722,0.820795807119032,0.33 (0.37),0.83 (0.24),0.37 (0.40),train-augment,unet,0.1,0.01,True
0.642760369061296,0.7562202519127478,0.8107514114965748,0.31 (0.33),0.65 (0.26),0.42 (0.40),train-single,unet,0.5,0.01,True
0.8169759867589093,0.8961578965247817,0.9024037692232553,0.64 (0.32),0.80 (0.25),0.76 (0.33),train-all,unet,0.5,0.01,False
0.7794153476001142,0.929781114470451,0.8281635108016416,0.31 (0.37),0.84 (0.26),0.34 (0.40),train-all,unet,0.05,0.01,False
0.7369436023012316,0.9142047234583838,0.7916972838124426,0.26 (0.35),0.84 (0.24),0.28 (0.38),train-augment,unet,0.05,0.01,True
0.5194124672211266,0.9385120011474599,0.5377108059321394,0.20 (0.30),0.89 (0.19),0.21 (0.31),train-single,unet,0.05,0.01,True
0.778692909978282,0.9168929502930929,0.8378272762797968,0.38 (0.38),0.84 (0.25),0.42 (0.41),train-augment,unet,0.05,0.01,False
0.7669459843601509,0.9342516787263195,0.8107029622545102,0.37 (0.37),0.86 (0.23),0.40 (0.39),train-augment,unet,0.1,0.01,False
0.8118355812899423,0.9133796091842088,0.879552751305693,0.42 (0.40),0.84 (0.26),0.47 (0.43),train-single,unet,0.5,0.01,False
0.6745995031741651,0.9225253177218391,0.7151132442921413,0.26 (0.34),0.86 (0.20),0.28 (0.36),train-single,unet,0.1,0.01,True
0.6365917058669195,0.9304816689502629,0.6683806697328026,0.23 (0.32),0.87 (0.20),0.24 (0.34),train-single,unet,0.05,0.01,False
